코드,코드명
UQQ600,토지거래허가구역
ZC0003,제1종수변경관지구
ZC0004,제2종수변경관지구
ZC0005,전통경관지구
ZH0008,숙박시설제한지구
ZH0009,위험물저장및처리시설제한지구
ZJ0001,숙박시설제한지구
ZJ0002,위락시설제한지구
ZJ0003,위험물저장및처리시설제한지구
ZJ0004,보행자우선지구
ZL8003,농수산업지구
ZH4803,제1종수변경관지구
ZL8002,주거환경보호지구
UMG200,폐기물처리시설입지
UMI100,상수원보호구역
UMK100,(한강)수변구역
UMM100,특별대책지역
UMO100,특별관리해역
UMO200,환경보전해역
UMQ100,습지보호지역
UMQ200,습지주변관리지역
UMQ300,습지개선지역
UMR100,특정도서
UMR200,시·도특정도서
UMS100,야생생물특별보호구역
UMS210,시·도야생생물보호구역
UMS220,야생생물보호구역
UMT100,골재채취단지
UMT200,골재채취금지구역
UMU100,(금강)수변구역
UMU200,(금강)상수원보호구역
UMV100,(낙동강)수변구역
UMV200,(낙동강)상수원보호구역
UMW200,(영산강·섬진강)상수원보호구역
UNA100,군사시설보호구역
UNA110,통제보호구역
UNA120,제한보호구역
UNA200,대공방어협조구역
UNB130,헬기전용작전기지의비행안전구역
UNB131,헬기전용작전기지의비행안전구역 제1구역
UNB132,헬기전용작전기지의비행안전구역 제2구역
UNB133,헬기전용작전기지의비행안전구역 제3구역
UNB140,비상활주로
UNB141,비상활주로의 비행안전 제1구역
UNB142,비상활주로의 비행안전 제2구역
UNB143,비상활주로의 비행안전 제3구역
UNB200,기지보호구역
UNC100,해군기지구역(육상구역)
UNC110,해군기지통제보호구역
UNC120,해군기지제한보호구역
UND100,특별보호구역
UOA100,교육환경보호구역
UOA110,절대보호구역
UOA120,상대보호구역
UOC100,보호구역
UOC300,현상변경허가 대상구역
UOC400,등록문화재
UOC510,국가지정문화재
UOC520,시ㆍ도지정문화재
UOC530,문화재자료
UOC600,임시지정문화재
UOF100,관광지
UOF200,관광단지
ZI0009,동강유역자연휴식지역
ZI0010,자연환경연구공원
ZD0006,시지정문화재천연보호구역
ZH0035,숙박·위락시설제한지구
ZM8301,주거환경보호지구
UMB500,공원문화유산지구
UQY500,빗물저장 및 이용시설
TMP040,(임시)대회관련시설 설치·이용지역
ZM2301,주거환경보호지구
UNE125,제한보호구역(지원/헬기：2km)
ZJ0016,조망권경관지구
UIG550,착륙복행표면구역
ZO7212,주거환경보호지구
UFP100,임업진흥권역
UFR100,산림보호구역
UIG412,나지구
UIG413,다지구
UBP100,시장정비구역
UDX200,가로구역별 최고높이 제한지역
UHJ100,산업시설구역
UHJ200,지원시설구역
UHJ300,공공시설구역
ZP0012,정주환경지원지구
ZH4802,제2종자연경관지구
ZJ0005,주거환경보호지구
ZJ0006,농수산업지구
ZJ0007,시계관리지구
ZN0010,보행자우선지구
ZN0011,주거환경보호지구
ZN0012,농·수산업지구
ZN0013,도계관리지구
ZL0009,위험물저장및처리시설제한지구
ZL0010,문화재보존영향 검토대상구역
ZM0001,전통경관지구
ZM0002,조망권경관지구
ZM0004,위락시설제한지구
ZM0005,위험물저장및처리시설제한지구
ZM0006,문화재보존영향 검토대상구역
ZN0001,제1종자연경관지구
ZN0002,제2종자연경관지구
ZN0003,제1종수변경관지구
ZN0004,제2종수변경관지구
ZA0006,문화재보존영향 검토대상구역
ZB0001,숙박시설제한지구
ZB0002,위락시설제한지구
ZB0003,위험물저장및처리시설제한지구
ZC0009,문화재보존영향 검토대상구역
ZD0001,숙박시설제한지구
ZD0002,위락시설제한지구
ZD0003,위험물저장및처리시설제한지구
ZD0004,문화재보존영향 검토대상구역
ZE0001,제1종자연경관지구
ZE0002,제2종자연경관지구
ZE0003,제1종수변경관지구
ZE0004,제2종수변경관지구
ZE0006,조망권경관지구
ZE0007,숙박시설제한지구
ZE0008,위락시설제한지구
ZE0009,위험물저장및처리시설제한지구
ZE0010,보행자우선지구
ZE0011,주거환경보호지구
ZE0012,농수산업지구
ZE0013,시계관리지구
ZE0014,문화재보존영향 검토대상구역
ZF0001,호국경관지구
ZF0002,문화재보존영향 검토대상구역
ZG0001,숙박시설제한지구
ZG0002,위락시설제한지구
UBL130,지하수자원보전지구(3등급)
UBL140,지하수자원보전지구(4등급)
UBL999,지하수자원보전지구(기타)
UBM120,생태계보전지구(2등급)
UGD200,준보전무인도서
ZM7803,제1종수변경관지구
UNE430,헬기전용작전기지
UNE412,비행안전 제2구역(전술)
UNE433,비행안전 제3구역(헬기)
ZI0004,주거환경보호지구
ZO0012,주거환경보호지구
UIG570,내부진입표면구역
ZH3901,시흥시향토문화유산보호구역
ZF0003,숙박시설제한지구
UFN300,토사채취허가제한지역
UJB300,연안구역
ZK0012,농수산업지구
ZO7213,농수산업지구
ZC0002,제2종자연경관지구
ZM0003,숙박시설제한지구
ZE0005,전통경관지구
UBM110,생태계보전지구(1등급)
UIG410,가지구
UBT100,항만재개발사업구역
UNE110,통제보호구역
TMP059,(임시)역사문화환경 보존지역
UBM130,생태계보전지구(3등급)
UBM140,생태계보전지구(4-1등급)
UBM150,생태계보전지구(4-2등급)
UBM160,생태계보전지구(5등급)
UBM999,생태계보전지구(기타)
UBN110,경관보전지구(1등급)
UBN120,경관보전지구(2등급)
