시군명,정류소명,정류소영문명,정류소id,정류소번호,중앙차로여부,관할관청,위치,lat,lon
수원시,영신여자고교.청구아파트,"Youngshin Girls' High School, Cheonggu Apartment ",201000166,2055,노변정류장,경기도 수원시,경기도 수원시 권선구 오목천동,37.2419833,126.9627833
수원시,영일중학교.수원출입국사무소,"Yonggil Middle School, Suwon Immigration Office ",203000143,4152,노변정류장,경기도 수원시,경기도 수원시 영통구 영통동,37.2492167,127.0750833
수원시,영일중학교.수원출입국사무소,"Youngil Middle School, Suwon Immigration Office ",203000205,4154,노변정류장,경기도 수원시,경기도 수원시 영통구 영통동,37.2488,127.0752667
수원시,영조아름다운나날1단지,Yeongjo Areumdaunnanal 1-danji,201000493,2008,노변정류장,경기도 수원시,경기도 수원시 권선구 오목천동,37.24125,126.96985
수원시,영조아파트.푸르지오아파트,"Yeongjo Apartment, Prugio Apartment ",201000392,2889,노변정류장,경기도 수원시,경기도 수원시 권선구 오목천동,37.2429167,126.9692167
수원시,영조아파트.푸르지오아파트,"Yeongjo Apartment, Prugio Apartment ",201000391,2888,노변정류장,경기도 수원시,경기도 수원시 권선구 오목천동,37.2428833,126.9691
수원시,영통.랜드마크호텔,"Yeongtong, Landmark Hotel",203000408,4294,,경기도 수원시,,37.25305,127.07315
수원시,영통.랜드마크호텔,"Yeongtong, Landmark Hotel ",203000407,4293,,경기도 수원시,,37.25335,127.0728
수원시,영통SK뷰아파트.라온프라이빗아파트,Yeongtong Skview Apartment ,203000404,4004,노변정류장,경기도 수원시,경기도 수원시 영통구 영통동,37.2439167,127.06225
수원시,영통SK뷰아파트.라온프라이빗아파트,Yeongtong SKview Apartment,203000405,4011,노변정류장,경기도 수원시,경기도 수원시 영통구 영통동,37.244,127.06225
수원시,영통구보건소.수원체육문화센터,"Yeongtong-gu Public Health Center, Suwon Sports & Cultural Center",203000372,4358,노변정류장,경기도 수원시,경기도 수원시 영통구 영통동,37.2574667,127.0687667
수원시,영통구보건소.수원체육문화센터,"Yeongtong-gu Public Health Center, Suwon Sports & Cultural Center",203000373,4359,노변정류장,경기도 수원시,경기도 수원시 영통구 영통동,37.2572,127.0690667
수원시,영통구청,Yeongtong-gu Office,203000127,4024,노변정류장,경기도 수원시,경기도 수원시 영통구 매탄동,37.2584667,127.0449167
수원시,영통구청,Yeongtong-gu Office,203000024,4015,노변정류장,경기도 수원시,경기도 수원시 영통구 매탄동,37.2599667,127.0431167
수원시,영통구청,Yeongtong-gu Office,203000128,4028,노변정류장,경기도 수원시,경기도 수원시 영통구 매탄동,37.25875,127.0457833
수원시,영통구청.상지문고,Yeongtong-gu Office,203000027,4014,노변정류장,경기도 수원시,경기도 수원시 영통구 매탄동,37.2600667,127.0433833
수원시,영통도서관.영덕중학교,"Yeongtong Library, Youngduk Middle School",203000003,4138,노변정류장,경기도 수원시,경기도 수원시 영통구 영통동,37.2585333,127.0715333
수원시,영통뜨란채아파트,Yeongtong Tranche Apartment,203000183,4194,노변정류장,경기도 수원시,경기도 수원시 영통구 망포동,37.2436833,127.0649167
수원시,영통롯데아파트,Youngtong Lotte Apartment ,203000139,4100,노변정류장,경기도 수원시,경기도 수원시 영통구 영통동,37.2466667,127.0612833
수원시,영통아이파크캐슬1단지,,203000221,4215,,,,37.2419,127.0462833
수원시,영통역,Yeongtong Station ,203000123,4150,노변정류장,경기도 수원시,경기도 수원시 영통구 영통동,37.2537667,127.0739
수원시,영통역,Youngtong Station ,203000412,4391,노변정류장,경기도 수원시,,37.2516,127.0717333
수원시,영통역6번출구.영덕고등학교,"Yeongtong Station Exit 6, Yeongdeok High School",203000136,4133,노변정류장,경기도 수원시,경기도 수원시 영통구 영통동,37.2521333,127.0698333
수원시,영통역7번출구.영덕고등학교,"Yeongtong Station Exit 7, Yeongdeok High School",203000018,4132,노변정류장,경기도 수원시,경기도 수원시 영통구 영통동,37.2525,127.0697
수원시,영통역8번출구,Yeongtong Station Exit 8,203000074,4141,노변정류장,경기도 수원시,경기도 수원시 영통구 영통동,37.25235,127.0719167
수원시,영통입구,Yeongtong,203000158,4170,노변정류장,경기도 수원시,경기도 용인시 기흥구 영덕동,37.2684833,127.0829833
수원시,영통주공9단지,Youngtong Jugong 9-danji ,203000257,4240,노변정류장,경기도 수원시,경기도 수원시 영통구 영통동,37.2466,127.0651167
수원시,영통차고지(경유),,277101892,,,,,37.2599,127.0669333
수원시,영통홈플러스,Yeongtong Home Plus,203000410,4223,노변정류장,경기도 수원시,,37.2524167,127.0730167
수원시,영풍마을.동남대후문,"Yeongpung Maeul, Dongnam Health University Back Gate",200000371,1344,노변정류장,경기도 수원시,,37.2979167,126.98485
수원시,영풍마을.동남대후문,"Yeongpung Maeul, Dongnam Health University Back Gate",200000370,1343,노변정류장,경기도 수원시,,37.2981167,126.9850833
수원시,영화공원,Yeonghwa Park,200000201,1227,노변정류장,경기도 수원시,경기도 수원시 장안구 조원동,37.29605,127.0192333
수원시,영화초등학교,Younghwa Elementary School,200000192,1154,노변정류장,경기도 수원시,경기도 수원시 장안구 조원동,37.2960333,127.0150667
수원시,영화초등학교,Younghwa Elementary School,200000082,1153,노변정류장,경기도 수원시,경기도 수원시 장안구 조원동,37.2966167,127.0150833
수원시,오목동태산아파트,Omok-dong Taesan Apartment,201000016,2058,노변정류장,경기도 수원시,경기도 수원시 권선구 오목천동,37.2458,126.96285
수원시,오목동태산아파트,Omok-dong Taesan Apartment,201000025,2059,노변정류장,경기도 수원시,경기도 수원시 권선구 오목천동,37.2459833,126.9642
수원시,오목천동사거리,Omokcheon Sageori,201000164,2061,노변정류장,경기도 수원시,경기도 수원시 권선구 오목천동,37.2448833,126.96365
